phone	x	y	direction
AH	1	0	1
N	2	0	1
R	17	0	1
T	18	0	1
IH	1	0	2
S	2	0	2
D	17	0	2
L	19	0	2
IY	0	0	1
K	3	0	1
DH	6	0	1
EY	10	0	1
M	14	0	1
Z	19	0	1
P	16	0	1
AE	13	0	1
V	9	0	1
W	5	0	1
UW	0	0	2
B	3	0	2
EH	6	0	2
F	10	0	2
AY	14	0	2
SPACE	18	0	2
HH	16	0	2
OY	13	0	2
AA	9	0	2
NG	5	0	2
SH	4	0	1
ER	7	0	1
AO	8	0	1
Y	11	0	1
G	12	0	1
JH	15	0	1
CH	4	0	2
AW	7	0	2
UH	8	0	2
TH	11	0	2
OW	12	0	2
ZH	15	0	2
